,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,fc,8,True,0.05,0.09979781638369725,23291.355995161837,6.500900231337026,0.0959258164474597,22451.983806491255,6.295359722222218
0,fc,8,True,0.1,0.09901725329716125,23099.5235145916,6.464379567161477,0.09741602636538466,22605.94411833362,6.378075412826416
0,fc,8,True,0.2,0.09867948365559273,22832.460436194826,6.466284520348825,0.09577675723721343,22334.2299541825,6.240064792255576
0,fc,8,True,0.35,0.09961452735190522,23138.21215966384,6.57191704710817,0.09694397011604702,22616.970127440112,6.359591732425213
0,fc,8,True,0.6,0.09923408772987671,23108.63436096382,6.5338551739351605,0.09652691917707999,22517.36975605102,6.287303170736279
0,fc,8,True,0.8,0.09918886045549381,23208.213848318093,6.510571509401164,0.09397410766603571,22070.60506568875,6.1296882812500355
0,fc,8,True,1.0,0.099584536511791,23444.446893577577,6.486746335679292,0.09294518152854192,21769.528639872304,5.981142692365346
0,fc,9,False,0.1,0.09879213411504631,23084.17361612726,6.499260213449384,0.0936342176179398,21987.538328909686,6.100706883045361
0,fc,9,True,0.01,0.10123788743678408,23552.223248843045,6.677977475938669,0.09634367423155417,22395.230312968873,6.360972212040339
0,fc,9,True,0.05,0.09932833989252529,23327.39045601045,6.456843112244856,0.09531908064824587,22401.80484314454,6.267470316756263
0,fc,9,True,0.1,0.09886037435637239,22989.336709427804,6.4888679936880855,0.09461306004609224,22141.793648899988,6.186272196588359
0,fc,9,True,0.2,0.09909155977977362,23180.586962170764,6.53435803756795,0.09553787676555951,22504.87758327951,6.259685029644285
0,fc,9,True,0.35,0.0994352111353732,22946.021362557985,6.495177832750733,0.09512775355976229,22164.148256426834,6.259565231541664
0,fc,9,True,0.6,0.0995833710933957,23015.868616299107,6.45009995158922,0.09508706253042543,22103.030791061774,6.192811943017407
0,fc,9,True,0.8,0.09975464710521091,23340.88989088671,6.504671874999963,0.09664384070430211,22567.68632518782,6.336624833499849
0,fc,9,True,1.0,0.09935121907408799,23221.009151638696,6.519036238815157,0.09475571991706458,22058.16296586553,6.187448578193693
0,fc,10,False,0.1,0.09915349391666842,23141.22200734045,6.5043368212669455,0.09508116334693664,22332.78867758891,6.249802743236029
0,fc,10,True,0.01,0.10196541034128855,23894.104598672388,6.651919538472637,0.09428945562368264,22160.63115772669,6.177948810275178
0,fc,10,True,0.05,0.10003617351321173,23515.78506182333,6.526748757031002,0.09335552306491382,21813.252418665234,6.092397791319409
0,fc,10,True,0.1,0.09883469646039095,23124.172179040313,6.409789773729702,0.09506593683160862,22472.62260933103,6.172719225652093
0,fc,10,True,0.2,0.09859111442765657,23037.659344007337,6.453684296517144,0.09551946979637399,22482.48583743918,6.229592024398108
0,fc,10,True,0.35,0.09967632275871736,23388.578065667516,6.5666107785567,0.09483907070583589,22196.99419064793,6.2355584033267535
0,fc,10,True,0.6,0.10021034087619422,23534.97624440184,6.521811390629353,0.09689401038189736,22855.64124697716,6.27838099646612
0,fc,10,True,0.8,0.10006719633040952,23340.643259214427,6.59043219187543,0.09420111397385585,21784.110644163946,6.178506988690716
0,fc,10,True,1.0,0.09943674959082643,23291.949238204204,6.580572664891818,0.09464929611014455,22221.009159070523,6.162427593827482
