,Dataset,iteration,isMasked,threshold,MALE_test,RMSE_test,MAPE_test,MALE_train,RMSE_train,MAPE_train
0,sp,9,True,1.0,0.14447133720533528,163722.97975309243,10.785319212656988,0.1387223197060963,159034.5313936353,10.08342080573954
0,sp,10,False,0.1,0.14075264007272156,161382.50634125102,10.457898839808824,0.1352154713700413,155179.98979492535,9.735401147959191
0,sp,10,True,0.01,0.1424473053363758,162258.5894993634,10.59850549640489,0.13698003657155353,156707.0899069525,9.965006433823525
0,sp,10,True,0.05,0.14169830356739085,162272.79367941062,10.391019683441563,0.13809134638294715,158933.44392836347,9.981247373949536
0,sp,10,True,0.1,0.14197158988081093,161998.9102226249,10.493902859960535,0.13464655357051195,154434.04986922155,9.72926320684529
0,sp,10,True,0.2,0.1429105150303329,164089.78419867318,10.557934935020473,0.13726258954620413,157495.3145585145,9.97435945917947
0,sp,10,True,0.35,0.14311716723454082,162071.239464923,10.697034233176796,0.13801782075609753,157552.85735226335,10.017800863766526
0,sp,10,True,0.6,0.14433894614656503,164619.58090106823,10.824212053571431,0.13426232244414382,154467.9599935442,9.6006428429027
0,sp,10,True,0.8,0.14397468283558756,164005.61001137344,10.677878281637089,0.1356079942437804,156673.4337703952,9.723638688455008
0,sp,10,True,1.0,0.14504484349863328,163280.93115655545,11.058454545454573,0.14008653506311253,159239.98731927294,10.39642752590215
