Address,City,Lat,Lon
Jachtlaan 320 A,Apeldoorn,52.2031891,5.9441733
Sluislaan 31,Moordrecht,51.986036,4.6690282
Violierstraat 35,Eindhoven,51.4222407,5.4917356
Het Aangelag 10,Bladel,51.3765487,5.2143203
St.-Elisabethstraat 80,Vught,51.6533384,5.2932743
Koningin Beatrixlaan 1,Leusden,52.1146833,5.4065522
Bosjeslaan 20,Vlissingen,51.4510763,3.5727302
Bierbrouwershorst 302,Apeldoorn,52.2064426,5.9856082
Eem 13,Nieuwerkerk aan den IJssel,51.95359500000001,4.6125732
Poststraat 20 D,Stadskanaal,52.99319329999999,6.9435842
Willem de Zwijgerlaan 177,Woudenberg,52.0790803,5.4255489
Reimersbeek 21,Amsterdam,52.3237947,4.878234
Holleweg 161,Heiloo,52.6011427,4.7031314
Hertogstraat 45,Brunssum,50.9462042,5.9594255
Victor Slingelandstraat 13,Oosterhout (NB),51.6507899,4.8408295
Corlaerstraat 20,Nijkerk,52.2133301,5.4707212
Boterbloemlaan 25,Vlissingen,51.4516307,3.5781287
Hogeweg 38 a,Oldelamer,52.8627482,5.9042658
Baflostraat 12,Arnhem,51.9515277,5.8988442
Lijnbaanstraat 24,Middelharnis,51.7602102,4.1588881
Leurinkstraat 18,Hengelo (OV),52.2516002,6.784572799999999
Sillebeekstraat 20,Valkenburg (LI),50.8685409,5.8399226
Minister Treubstraat 12,Enschede,52.2321113,6.883106799999999
Akkerstraat 6,Gilze,51.5430194,4.9506757
Sint Antoniushof 126,Oosterhout (NB),51.6387186,4.8691867
Apollostraat 46,Spijkenisse,51.8388034,4.3157425
Hunzedal 33,Borger,52.91862090000001,6.8021612
Beumeesweg 32 a,Alteveer (GR),53.0467113,7.016642099999999
Verremeer 93,Rijsenhout,52.26228,4.7159349
Voorzorgstraat 8,Haarlem,52.3806433,4.6212821
Oranjelaan Oostzijde 31,Puttershoek,51.8060138,4.570557
Aleidisstraat 9,Sprundel,51.5384104,4.592059
Anjerstraat 33,Ridderkerk,51.8663546,4.5912418
Dorpsstraat 17,Wijngaarden,51.8447657,4.7637287
Schalk Burgerstraat 11,Leeuwarden,53.2069384,5.792117699999999
Noordhoek Hegtstraat 81,Enschede,52.2258539,6.862033200000001
Kollermolen 35,Gennep,51.6939503,5.9883123
Rigoletto 21,Eindhoven,51.4906708,5.4777764
Zuideinde 86,Volendam,52.4923029,5.0711575
Veldkampsweg 36,Nijverdal,52.3583252,6.459297599999999
Lombokstraat 17,Dordrecht,51.8076321,4.679742
De Fruittuinen 3,Hoofddorp,52.2986988,4.6955643
Junolaan 4 b,Waddinxveen,52.03330889999999,4.655834100000001
Florastraat 59,Wormer,52.4970914,4.8047599
Beatrixstraat 20,Oeffelt,51.6977948,5.934857200000001
Achtererf 73,Tholen,51.532396,4.211264799999999
't Laar 2,Amersfoort,52.1891989,5.384473799999999
Havensingel 47,Eindhoven,51.4363719,5.4877558
Bosmuizenlaar 32,Bavel (Gem. Breda),51.5643626,4.816845799999999
Noordenveld 33,Assen,53.0058857,6.5486144
Kievitstraat 69,Neede,52.1337717,6.6024106
Piccolo 67,Rotterdam,51.9620681,4.5605362
Machteld Sandelijnslaan 36,Hendrik-Ido-Ambacht,51.8401047,4.6236248
Dorpsstraat 58,Halle,51.9899934,6.430096300000001
Frieseweg 55,Alkmaar,52.63508359999999,4.756132099999999
De Bleijdestraat 26,Rijssen,52.3051648,6.5129465
Hoogaars 12,Schiedam,51.9418371,4.3708551
Roelantstraat 25,Alkmaar,52.6147212,4.7496471
Iepenlaan 62,Duiven,51.9457525,6.0207902
Molendijk 4,Stad aan 't Haringvliet,51.7374962,4.2410752
Chrysantstraat 22,Utrecht,52.1013999,5.0950286
Marga Klompélaan 99,Rijen,51.58567559999999,4.930418899999999
Fluitersweg 40,Wenum Wiesel,52.2438198,5.961373
Bodenheimstraat 5,Ede,52.0231296,5.6652245
Ruth Firststraat 40,Purmerend,52.4891679,4.9586519
Het Boschloo 13,Warnsveld,52.1308261,6.2381549
Torenstraat 75,Castricum,52.5507711,4.6641812
Bûterblom-strjitte 28,Kootstertille,53.21312529999999,6.0954551
Pastoor van Winkelstraat 23,Schaijk,51.7464142,5.6348603
Mastgatstraat 16,Middelburg,51.4887076,3.6008765
Meerboomweg 10,Hollandscheveld,52.709221,6.56882
Bloemstraat 84,IJmuiden,52.4609792,4.5957833
Magelerweg 44,Den Ham (OV),52.4684228,6.4969395
Engelbeemd 3,Herpen,51.773771,5.638285
Schubertstraat 24,Numansdorp,51.7351766,4.43593
Bosserdijk 12,Hoogland,52.18609590000001,5.3770399
Erf 23,Gemert,51.5552886,5.690366
Koningshof 2,Rijpwetering,52.1886745,4.5865231
Bareveld 5,Marum,53.13088279999999,6.240376599999999
Willem Weysingel 38,Pernis Rotterdam,51.8863712,4.386309
Heivlinderlaan 14,Culemborg,51.9451596,5.2028273
Sternstraat 24,Purmerend,52.5202192,4.958228699999999
Voorstraat 124,Noordwijk (ZH),52.231176,4.4456315
Dorpsstraat 5,Ees,52.9091129,6.805351399999999
Lange acker 74,Heemskerk,52.5014511,4.6594489
Tolsestraat 1,Opheusden,51.9299252,5.6373406
